Arbitrary ID,Drug Name (Brand),Drug Name (Generic),Drug Company,Dosage
VQM-732,Tobramycin Sulfate,TOBRAMYCIN SULFATE,,9.1mg
0Xe-933,Aptivus,tipranavir,"Boehringer Ingelheim Pharmaceuticals, Inc.",6.0mg
dFL-450,Ketoprofen,ketoprofen,,5.1mg
EcW-351,Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,REMEDYREPACK INC.,9.4mg
nkn-474,Diovan HCT,valsartan and hydrochlorothiazide,"PD-Rx Pharmaceuticals, Inc.",4.0mg
yBR-806,napoleon PERDIS SHEER GENIUS LIQUID FOUNDATION BROAD SPECTRUM SPF 20 Look 5,"OCTINOXATE, TITANIUM DIOXIDE","Napoleon Perdis Cosmetics, Inc",2.5mg
6rZ-921,Take Care Clinic Instant Hand Sanitizer Spray,ALCOHOL,"Cinogen Cosmetics Zhaoqing, Ltd.",0.2mg
CVp-900,"Sodium Sulfacetamide, Sulfur","Sodium Sulfacetamide, Sulfur","Exact-Rx, Inc.",5.0mg
FBr-666,Lidocaine Hydrochloride,Lidocaine,Proficient Rx LP,3.7mg
pwX-711,Morning Fresh,Sodium Monofluorophosphate,Dynarex Corporation,1.6mg
8Ak-004,,Chamomilla e pl. tota 30 Special Order,Uriel Pharmacy Inc.,8.5mg
Wvk-040,CVS Tussin CF,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",CVS Pharmacy,0.8mg
uuk-615,LOVASTATIN,LOVASTATIN,"International Labs, Inc.",4.5mg
wwg-515,DHC,Titanium dioxide and Zinc oxide,DHC USA Incorporated,5.9mg
1Qu-701,,Bupropion Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,2.6mg
JPn-336,Lorazepam,LORAZEPAM,"Hospira, Inc.",5.5mg
5Dj-010,PURE HYDROGEL APPLE ZONE,Glycerin,WOOIL C&TECH.CORP,8.5mg
lW5-428,Charm Tex,Sodium Fluoride,"Charm Tex, Inc.",2.3mg
hGO-989,Aricept,donepezil hydrochloride,Eisai Inc.,6.4mg
eIt-266,Air,Air,Airgas Intermountain Inc,6.2mg
Bi0-209,Potassium Chloride,Potassium Chloride,Zydus Pharmaceuticals USA Inc,9.5mg
mMA-166,Mexican Tea Pollen,Mexican Tea Pollen,,1.2mg
iA6-055,Bahia Grass,Bahia Grass,"Nelco Laboratories, Inc.",8.2mg
GRe-728,Quflora Pediatric,"VITAMIN A ACETATE, ASCORBIC ACID, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL, DL-, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, LEVOMEFOLIC ACID, FOLIC ACID, CYANOCOBALAMIN, MAGNESIUM OXIDE, CUPRIC SULFATE, and SODIUM FLUORIDE","CarWin Pharmaceutical Associates, LLC",7.0mg
ipU-508,Metformin Hydrochloride,Metformin Hydrochloride,,6.3mg
r6v-183,Diazepam,Diazepam,Cardinal Health,7.5mg
OV3-829,Ambi Even and Clear Daily Moisturizer,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone","Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",9.4mg
6oP-633,Dr. JIs Arthritis Plus,"camphor, menthol, methyl salicylate",JI Well Health Company,0.3mg
Vd7-714,Chicken Feathers,Chicken Feathers,"Nelco Laboratories, Inc.",1.1mg
wyH-085,CALCIUM ACETATE,CALCIUM ACETATE,,6.2mg
ckl-460,Mucus Relief Severe Congestion Cough,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",,4.3mg
FdA-492,Surmontil,Trimipramine Maleate,"Teva Women's Health, Inc.",6.0mg
gtA-835,Amoxicillin,Amoxicillin,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,8.5mg
FT5-355,Verapamil Hydrochloride,Verapamil Hydrochloride,"General Injectables & Vaccines, Inc",3.7mg
fws-845,COMPLETE FLU CARE,"EUPATORIUM PERFOLIATUM FLOWERING TOP, BRYONIA ALBA ROOT, GELSEMIUM SEMPERVIRENS ROOT, EUPHRASIA STRICTA, POTASSIUM IODIDE, and CAIRINA MOSCHATA HEART/LIVER AUTOLYSATE",Hyland's,1.0mg
aYK-906,Pain Reliever PM,"Acetaminophen, Diphenhydramine HCl",Family Dollar (FAMILY WELLNESS),1.8mg
CyJ-883,SYLATRON,peginterferon alfa-2b,Merck Sharp & Dohme Corp.,2.0mg
w15-391,Imiquimod,Imiquimod,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",4.9mg
spU-324,Klonopin,Clonazepam,"Genentech, Inc.",7.2mg
qK6-434,Benazepril Hydrochloride,benazepril hydrochloride,,8.6mg
Y4t-949,FNG,"Echinacea angustifolia, Hydrastis canadensis, Lapachoplex, Lomatium, Nasturtium aquaticum, Propoloplex, Tabebuia impetiginosa,",,5.3mg
jpJ-859,Coast Maple,Coast Maple,,1.2mg
IK1-886,QVAR,beclomethasone dipropionate,"Teva Respiratory, LLC",2.1mg
NuV-036,GAP Favorite Lip Balm,Octinoxate and Oxybenzone,,6.5mg
oFd-671,NANOMIX BODY CARE,Dimethicone,"NANOPOLY CO., LTD.",4.6mg
Aeb-277,,Octinoxate,,9.1mg
zSF-424,Hangover Relief,"Arsenicum album, Asarum europaeum, Avena sativa, Bryonia, Capsicum annuum, Carbo vegetabilis, Carboneum sulphuratum, Cinchona officinalis, Gelsemium sempervirens, Nux vomica, Paullinia sorbilis, Sulphuricum acidum",,0.4mg
BR9-197,La Vaquita,"Methyl Salicylate, Menthol",Delon Laboratories (1990) Ltd,6.5mg
IuA-546,Duloxetine,Duloxetine Hydrochloride,,1.4mg
wde-847,BLATELLA GERMANICA,GERMAN COCKROACH,,5.1mg
