ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,PatientSubtypeFeatures,RRID,Age,AgeCategory,Sex,PatientRace,PrimaryOrMetastasis,SampleCollectionSite,SourceType,SourceDetail,CatalogNumber,ModelType,TissueOrigin,ModelDerivationMaterial,ModelTreatment,PatientTreatmentStatus,PatientTreatmentType,PatientTreatmentDetails,Stage,StagingSystem,PatientTumorGrade,PatientTreatmentResponse,GrowthPattern,OnboardedMedia,FormulationID,SerumFreeMedia,PlateCoating,EngineeredModel,EngineeredModelDetails,CulturedResistanceDrug,PublicComments,CCLEName,HCMIID,PediatricModelType,ModelAvailableInDbgap,ModelSubtypeFeatures,WTSIMasterCellID,SangerModelID,COSMICID,ModelIDAlias
-0xE933,PT-gj46wT,NIH:OVCAR-3,NIHOVCAR3,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,,CVCL_0465,60,Adult,Female,caucasian,Metastatic,ascites,ATCC,,HTB-161,Cell Line,,,,,,,,,,,Adherent,MF-001-041,RPMI + 20% FBS + 0.01 mg/ml insulin,FALSE,None,,,,,NIHOVCAR3_OVARY,,FALSE,Approved for public sharing - CCLE,,2201,SIDM00105,905933,
dFL-450,PT-5qa3uk,HL-60,HL60,AMLMRC,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,AMLMRC,"TP53(del), CDKN2A and NRAS mutations [PubMed=288488], No PML-RARA fusion",CVCL_0002,36,Adult,Female,caucasian,Primary,haematopoietic_and_lymphoid_tissue,ATCC,,CCL-240,Cell Line,,,,,,,,,,,Suspension,MF-005-001,IMDM + 10% FBS,FALSE,None,,,,,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,TRUE,Approved for public sharing - CCLE,"NRAS, BCOR and CDKN2A",55,SIDM00829,905938,
EcW-351,PT-puKIyc,CACO2,CACO2,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,,CVCL_0025,72,Adult,Male,caucasian,Primary,Colon,ATCC,,HTB-37,Cell Line,,,,Unknown,,,,,,,Adherent,MF-015-009,EMEM + 20% FBS,FALSE,None,,,,,CACO2_LARGE_INTESTINE,,FALSE,Approved for public sharing - CCLE,,,SIDM00891,,
nkn-474,PT-q4K2cp,HEL,HEL,AMLNOS,Myeloid,Acute Myeloid Leukemia,"AML, NOS",AMLNOS,JAK2 and TP53 mutations,CVCL_0001,30,Adult,Male,caucasian,Primary,haematopoietic_and_lymphoid_tissue,DSMZ,,ACC 11,Cell Line,,,,Post-treatment,,,,,,,Suspension,MF-001-001,RPMI + 10% FBS,FALSE,None,,,,,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,TRUE,Approved for public sharing - CCLE,JAK2 and TP53,783,SIDM00594,907053,
yBR-806,PT-q4K2cp,HEL 92.1.7,HEL9217,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,JAK2 and TP53 mutations,CVCL_2481,30,Adult,Male,caucasian,,bone_marrow,ATCC,,HEL9217,Cell Line,,,,,,,,,,,Mixed,MF-001-001,RPMI + 10% FBS,FALSE,None,,,,,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,TRUE,Approved for public sharing - CCLE,,,SIDM00593,,
6rZ-921,PT-ej13Dz,MONO-MAC-6,MONOMAC6,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,"KMT2A-MLLT3, TP53 Arg273His",CVCL_1426,64,Adult,Male,,Primary,haematopoietic_and_lymphoid_tissue,DSMZ,,ACC 124,Cell Line,,,,,,,,,,,Suspension,MF-001-001,RPMI + 10% FBS,FALSE,None,,,,,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,TRUE,Approved for public sharing - CCLE,"KMT2A::MLLT3, TP53, ASXL1 and U2AF1",2167,SIDM01023,908148,
CVp-900,PT-NOXwpH,LS513,LS513,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,,CVCL_1386,63,Adult,Male,caucasian,Primary,large_intestine,ATCC,,CRL-2134,Cell Line,,,,,,,,,,,Adherent,MF-001-001,RPMI + 10% FBS,FALSE,None,,,,,LS513_LARGE_INTESTINE,,FALSE,Approved for public sharing - CCLE,,569,SIDM00677,907795,ACH-001078
FBr-666,PT-fp8PeY,A101D,A101D,MEL,Skin,Melanoma,Melanoma,MEL,,CVCL_1057,56,Adult,Male,caucasian,Primary,skin,ATCC,,CRL-7898,Cell Line,,,,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,FALSE,None,,,,,A101D_SKIN,,FALSE,Approved for public sharing - CCLE,,1806,SIDM00801,910921,
pwX-711,PT-puKIyc,C2BBe1,C2BBE1,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,,CVCL_1096,72,Adult,Male,caucasian,Primary,Colon,ATCC,,CRL-2102,Cell Line,,,,,,,,,,,Adherent,MF-002-021,DMEM + 10% FBS + 0.01 mg/ml Transferrin,FALSE,None,,,,,C2BBE1_LARGE_INTESTINE,,FALSE,Approved for public sharing - CCLE,,2104,SIDM01233,910700,
8Ak-004,PT-AR7W9o,253J,253J,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,,CVCL_7935,53,Adult,Male,,Metastatic,lymph_node,KCLB,,80001,Cell Line,,,,,,,,,,,Adherent,MF-002-001,DMEM + 10% FBS,FALSE,None,,,,,253J_URINARY_TRACT,,FALSE,Approved for public sharing - CCLE,,,,,
