Arbitrary ID,Line-001,Line-002,Line-003
VQM-732,3.44499,0.6974,1.15706
0Xe-933,-1.99824,3.11868,3.47376
dFL-450,,,3.15961
EcW-351,3.10239,1.71866,
nkn-474,,2.89319,1.37505
yBR-806,2.65152,1.65589,
6rZ-921,4.53743,2.57526,4.15284
CVp-900,2.74219,,3.39993
FBr-666,,-4.16416,2.07602
pwX-711,2.46453,1.84628,1.44393
8Ak-004,,4.82657,1.79928
Wvk-040,,,0.00561
uuk-615,,2.9148,
wwg-515,1.2861,4.8676,1.09079
1Qu-701,2.05541,3.94094,
JPn-336,4.07403,0.25183,
5Dj-010,1.24471,1.37955,2.84797
lW5-428,1.62441,,0.21358
hGO-989,3.61581,,
eIt-266,0.0207,1.27973,
Bi0-209,4.24229,3.00858,
mMA-166,,1.17619,2.70982
iA6-055,0.16263,3.84144,1.11489
GRe-728,3.669,4.24039,-3.92783
ipU-508,3.07471,,2.60892
r6v-183,3.64208,3.64141,3.02727
OV3-829,-0.17409,3.56701,3.72453
6oP-633,2.41823,,2.03086
Vd7-714,2.76051,1.05749,1.82524
wyH-085,4.42476,,
ckl-460,2.20074,0.53355,3.19878
FdA-492,4.4569,4.25705,4.92312
gtA-835,1.96973,2.21632,-1.61458
FT5-355,1.65962,1.98028,2.06505
fws-845,,4.27395,3.95218
aYK-906,3.11088,0.66753,2.26721
CyJ-883,,3.86502,4.62232
w15-391,4.46776,1.72507,
spU-324,3.26234,0.94928,
qK6-434,2.47376,3.73374,1.40278
Y4t-949,2.19526,4.77617,4.08009
jpJ-859,1.99661,0.94709,1.83878
IK1-886,-4.23967,4.25802,0.58942
NuV-036,2.71128,2.25889,4.29819
oFd-671,2.89944,1.41089,2.25038
Aeb-277,4.07505,,2.70004
zSF-424,1.48367,0.88531,-1.501
BR9-197,,,
IuA-546,4.83934,4.19074,2.44965
wde-847,3.51686,,1.76662
