category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,371/8404,371/9416,1,1.1204188481675392,6.819304225133862,1.939632699052789e-19,6.827507100665818e-17,3.344983952609128e-17,2918/2564/2899/23620/55879/2740/1444/2916/339403/1268/2562/2357/5618/3356/1133/2832/4889/152/6865/680/7442/4922/1081/1140/2488/5367/56413/2895/8484/3354/5539/3973/4887/150/286530/2550/6013/6870/4295/5030/7201/2558/885/2893/122042/1135/51052/1129/399967/10022/147/4543/170589/257313/1136/155/2492/1325/186/3361/22953/1144/2891/2917/255061/1134/2358/6752/79924/2695/5745/7434/5540/136/2831/2837/9340/4985/6869/10874/6019/11255/183/5026/1142/8811/1907/283869/134864/1394/2742/3357/1815/706/4159/6866/1132/623/100506013/2554/4161/4988/5179/151/2798/256933/3952/11054/57152/10424/2913/3001/5028/432355/85569/200959/10911/3062/5031/10800/2557/5741/1906/1908/799/2147/2904/2797/80763/5368/148/185/6915/9287/2696/133/113091/1143/3814/53829/1813/27334/117579/4544/3060/3640/2569/5646/728/3274/1511/5443/5739/7068/1128/165829/3350/5731/100169851/797/2567/5734/319100/6755/5729/2902/4852/2796/2150/146/1138/2894/57105/4986/594857/6750/1442/7349/7433/7432/59340/2906/2834/2743/9568/3269/2566/9248/90226/1241/4886/5021/1395/4157/23566/8620/1392/6753/5032/59350/1910/551/1139/84109/27346/3355/5027/100996758/4160/6863/8698/10886/9038/719/5645/624/3351/1145/5025/130574/6754/6343/130576/10161/3362/4142/5746/2570/2897/10316/2563/2898/2565/222642/5732/2925/344838/2555/2691/153/2568/2641/129521/2847/3375/8001/2908/79957/5697/1903/796/2642/886/2846/134860/2915/53637/552/1812/1269/6751/2922/64111/1443/55584/1141/8973/114131/3363/7252/1816/5617/2149/554/2561/57053/1814/10857/2559/9002/5340/134/2690/718/84539/2693/1902/64106/135/1131/5024/5724/2556/89832/66004/7253/3972/2587/4158/10888/5737/5020/7425/2903/9934/2911/116443/5173/51289/2892/9127/7067/8862/83551/79627/5644/1901/9294/117/2741/2900/387129/1909/5733/7200/2560/56923/116/6344/2905/160065/51083/2689/3061/399968/3358/2862/4828/154/3352/2914/187/2151/2859/553/347148/4829/2901/51738/3827/116444/1146/2890/887/727/2359/2912/3953/3360/5023/140/9170/1137/5029/4923/2692/84634/10203/2688/4987/122876,371
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,474/8404,480/9416,0.9875,1.1064136125654451,6.896188968206248,3.356617708699822e-17,5.907647167311687e-15,2.8943192121187654e-15,203068/3552/6310/79139/5710/257202/4710/4741/10133/673/5719/5691/775/1345/11315/6233/29982/7477/841/4514/1537/5684/6804/5682/55669/4708/293/578/5717/5689/7280/1133/51807/5332/7475/5582/5608/125965/5330/498/539/7332/5687/8878/1432/4713/8701/80208/7311/4539/440738/1349/8312/487/810/4512/10382/778/5606/7222/1769/598/4509/7417/163688/818/2893/351/489/815/1339/7345/1639/201625/30849/7132/1347/10280/7471/356/776/596/5894/3845/5702/4893/1855/7478/4702/842/572/2891/5683/341947/143471/55062/10381/6311/10975/51806/29796/9927/2475/5578/5481/10376/9821/2880/5630/7133/5709/55255/7476/6391/5609/4728/2081/5594/3309/5707/4726/3064/4041/4707/5071/22863/260334/1435/8322/122011/4744/4519/5868/4720/6389/6262/10126/4747/4217/292/55626/7479/4717/7474/805/1459/2535/10383/10010/4725/317/4537/64446/1536/1767/11258/89780/1329/9377/4705/9001/627/5714/3798/5743/51164/4701/516/468/5331/4711/50507/4709/2876/347733/7473/2861/7846/2904/779/5663/92552/27089/127602/120892/23435/836/4723/5715/84134/506/509/1454/54539/7384/8323/64837/84701/147700/5970/4294/5600/1452/4842/1965/27019/2878/1128/53349/7494/342371/3710/10121/84557/2902/27035/5694/84516/81029/6647/4538/55081/22943/9896/4700/522/2882/5335/203228/4696/7318/60673/801/369/2906/8325/7186/9973/9861/6392/1857/4729/55967/774/3831/81631/1856/7979/7316/5690/9451/4694/5701/3092/840/4714/4137/8632/8772/5534/3709/5706/581/5621/10476/441925/515/1139/5692/25981/5704/5713/3265/84790/808/1346/7386/4843/5604/113457/493869/5688/10540/4718/54361/3708/5602/5413/7855/4731/3569/1616/3028/2776/4706/51465/6390/112714/4715/10131/51384/56171/5861/7388/7416/8326/5579/823/518/374291/4536/5532/5535/2932/637/5718/7327/29110/7419/5693/5708/9217/517/1770/4716/116442/3799/1351/7314/6531/8851/6261/65018/1499/90550/7277/6622/1457/23130/1340/4040/2915/4287/5685/4704/4790/27121/54205/140775/4724/83447/4535/4695/5686/7484/5705/8313/4541/7385/25978/7483/11211/283106/5530/1020/177/9167/9706/5879/8678/324/10297/196385/3553/1131/5289/81027/2877/89832/355/5599/7278/8324/847/2903/514/488/51079/2911/27123/1350/5695/7381/5173/2892/170712/643246/55860/4698/9246/10023/440567/89953/27429/84617/55567/1327/291/6263/4218/126328/6300/347688/7326/513/3800/7472/9776/7317/2905/5533/100506742/7481/7976/7482/5605/7415/8408/816/146754/83544/118424/5664/57679/1460/4722/5595/2521/23236/10452/4712/10105/55102/10213/80326/5700/7802/7480/5603/2890/4540/1742/10671/7124/824/10120/4508/9627/1337/11047/11273/1649/23401/4513/4719/26100/6712/817/1768/22926/8321/91860/5601/79861,474
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,331/8404,333/9416,0.993993993993994,1.1136896058362027,6.086829660607601,1.5877073577576298e-14,1.862909966435619e-12,9.126909501529583e-13,3447/6932/5566/8517/7477/533/5584/841/3445/1297/1950/472/6696/578/84667/23352/84699/890/3688/55502/92359/245973/7475/3695/5522/3443/7143/23513/3996/5934/9641/3280/4193/3685/4855/23462/8312/9794/526/5520/1299/131873/7448/1978/284217/50617/6934/6198/4853/7132/7471/3691/356/3439/5296/5894/6199/3845/1291/4893/1855/6655/7478/534/3672/572/1298/5529/3066/50855/9368/4851/2475/4600/3455/5290/7060/6009/3914/7476/529/2033/10207/5594/5315/8322/7015/122011/9114/7157/10000/3716/1101/3105/3912/523/7479/7474/4799/2535/527/3133/1026/148022/89780/84612/8992/22798/64398/7098/3446/5743/3679/127124/3134/7473/3442/9586/5663/1285/3910/256076/525/836/5518/528/2885/7059/8323/3655/5970/207/1452/11317/3451/4599/8503/9134/3107/10488/7297/51606/5734/64764/3676/1311/81029/9223/10379/10312/5295/595/9550/7057/7450/8325/1021/1387/5527/1385/1857/5519/1856/9636/7187/57801/6908/390992/84552/83439/84441/5567/8772/3065/387332/5525/581/3661/5516/5590/4854/3694/3265/5293/208/5604/7249/54361/7855/1019/1288/90993/3913/10319/55534/6654/182/898/7422/51384/1869/23493/1027/3908/55012/8326/3675/23545/2932/3678/1278/3454/1284/29110/3693/5649/3659/894/9296/1287/3918/22801/7283/5568/3955/5925/3674/3915/1499/1017/54626/1286/3911/3551/535/3696/5610/5986/1739/5728/4790/3135/3444/5829/8638/51382/7484/998/8313/3448/5747/1293/7483/11211/6773/4242/5521/55844/56288/324/3452/10297/355/1956/1741/63923/8900/3449/8324/8516/7248/3106/90423/3909/1740/8515/10474/3680/26508/388585/2778/7058/5291/3993/7472/5159/3673/7481/7976/3440/7482/5605/5528/245972/5933/1280/3456/3371/6772/5523/5595/155066/8717/545/1292/3441/27175/896/2335/80326/5700/7480/3381/10134/7148/9519/1282/1108/7124/3690/2308/3516/5515/1147/148327/28227/7337/1277/8321/5526/537,331
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,358/8404,362/9416,0.988950276243094,1.108038529403257,6.04053815672845,1.0819155663703453e-13,9.520856984059039e-12,4.664530312045857e-12,3447/8115/3791/2783/5105/8517/117145/1444/3445/1297/1950/6696/5618/2261/84699/3558/3688/3717/3695/23533/2249/5522/3481/3082/3443/7143/5562/5934/4193/4233/3685/2264/6194/3326/2247/5520/3479/1299/1440/598/131873/2255/56034/7448/1978/284217/51764/6198/1129/1946/4602/3691/356/3439/596/5296/5894/6199/3845/1291/4893/1944/2253/4609/6655/1975/10681/842/3672/7010/572/4909/1298/5529/672/2475/7423/4915/5578/3455/5979/1436/5290/7060/6009/3914/3575/3566/4804/5594/1435/10018/2790/7157/10000/3716/26281/1101/200186/54331/3912/4170/23239/2069/3480/26291/2057/4803/5156/1026/54541/118788/22798/23035/1969/627/3446/57818/3679/468/2538/3643/3442/9586/1285/3910/256076/11140/3630/2246/5518/9470/2885/7533/7059/4902/2254/4254/3655/1977/5970/9863/207/2064/3451/8503/2786/7097/9134/10488/5154/1128/51378/7532/64764/2323/3676/1311/9223/27006/5295/595/7057/1442/2997/7450/1021/1943/2248/5527/1385/3560/146850/5519/29941/2785/3559/80310/7424/3563/5525/23566/6256/5516/3694/3265/2791/5293/208/5604/7249/253314/5585/2668/285/3569/9180/1019/1288/90993/3913/10971/8074/10319/2252/6654/2788/898/10161/94235/7422/2782/1027/3908/5563/55012/1945/3675/2932/3678/930/6850/3570/1278/4515/3454/1284/23678/3561/5228/5170/92579/3693/5649/894/2065/1287/3918/22801/2322/3667/57521/3674/3915/1388/5586/9965/1017/10110/1286/2846/3911/3551/3696/9623/3718/8822/2309/2793/5728/4790/4908/2251/1443/3444/4846/2260/3448/5747/1293/5155/57121/5617/2149/2250/2066/55970/5521/55844/5879/374/8817/5008/3452/2787/2690/3565/1902/1956/63923/7529/59345/3449/7531/8516/7248/7534/3815/7184/6446/3909/7039/2277/8515/3164/2056/3680/9048/7058/64223/2784/5291/284/5159/3673/1942/3440/5605/5528/5106/8823/2689/1280/3456/3371/5523/5595/2263/2324/2321/1292/3441/4914/896/2335/5623/3381/7148/5294/2792/1282/3690/2998/5515/1441/1147/6794/3574/148327/9170/28227/1277/3562/7099/1386/2688/5526/3320,358
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,248/8404,248/9416,1,1.1204188481675392,5.537910525158263,3.804703542868487e-13,2.6750226168725638e-11,1.3105673263133777e-11,203068/63916/6932/329/8517/6416/257364/25828/841/578/127829/7280/51807/79026/79443/58484/51209/5608/64746/10392/60412/79659/1432/55770/2316/51143/3326/5788/10382/7879/5606/10096/6281/2353/6934/1639/9267/6990/4074/7132/338382/4633/23118/596/5894/71/3606/4609/10094/10640/64601/8767/391/10381/8976/23643/29895/6885/10376/5290/60/10454/5609/103910/5594/260334/5420/5868/6500/10000/10333/1434/10093/7189/10810/10006/10383/375/3576/26084/11258/10627/3798/3839/51164/375189/347733/10552/7846/9266/382/836/54106/64837/147700/8655/5970/81873/5600/207/1781/140735/57617/7097/9367/58498/10121/26263/8797/197259/84516/9265/51135/834/4671/55845/4615/3654/387/7186/27128/5063/3831/7295/7100/79792/10398/840/83439/9844/8772/10787/5286/9842/581/6188/5287/8795/1778/23265/3265/84790/5293/208/5604/113457/653857/5585/10540/5602/302/114609/3569/1785/10095/5217/9475/112714/29109/83658/330/23339/23191/93408/114548/11035/57180/3836/113146/10109/3799/929/3840/57381/1499/7277/10097/55823/3551/4790/54205/838/5058/998/4646/5288/55207/51626/5879/26999/8677/10092/3553/5869/5289/81027/6993/5599/7278/8737/345456/83547/5216/7184/1783/55860/89953/84617/5898/29108/6300/2597/3725/83657/347688/3800/257397/3071/5291/399/388/5605/65082/837/5595/8717/9648/6237/1780/112574/5294/5603/10671/51176/7124/10120/1147/4636/4792/5878/27072/8743/7099/51429/3320/5601/23207/79861,248
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,363/8404,368/9416,0.9864130434782609,1.1051957659913498,5.932104616465463,5.311505218328446e-13,2.6750226168725638e-11,1.3105673263133777e-11,10762/203068/79139/5710/257202/4710/4741/10133/5719/5691/2733/1345/55746/29982/3084/4514/1537/5684/5682/7175/4708/5717/5689/7280/51807/220988/5608/3178/125965/498/23279/539/10189/5687/23225/8878/1432/4713/8701/80208/4539/440738/1349/4512/10382/5606/1769/598/4509/55916/1339/1639/201625/30849/642659/7132/1347/10280/10718/596/71/5702/4702/842/5903/572/2891/8480/5683/341947/143471/55062/10381/6311/10975/29796/2475/10376/9821/2880/60/5630/7133/5709/55255/6391/81929/4728/2081/3309/5707/4726/9542/4707/5071/22863/260334/4744/4519/5868/7157/4720/6389/10126/79902/4747/4217/6428/55626/4717/57122/10383/10010/4725/317/4537/64446/1767/11258/6432/1329/9377/4705/9001/5714/3798/51164/4701/516/468/375189/4711/4709/2876/347733/7846/2904/348995/27089/127602/23435/836/4723/5715/84134/23511/506/509/56893/54539/7384/64837/84701/147700/6396/5600/4842/1965/27019/53371/2878/7494/3710/10121/84557/2902/5694/84516/6647/4538/9896/4700/522/834/2882/203228/4696/60673/2906/9688/7186/3181/9973/9861/6392/4729/55967/3831/81631/7979/4686/5690/9451/4694/5701/4714/8632/5534/5706/581/10476/441925/515/5692/23165/25981/5704/5713/84790/1346/7386/4843/113457/493869/5688/10540/4718/94026/50613/8021/4731/1616/5217/145957/4706/6390/112714/4715/56171/5861/7388/7416/518/374291/4536/5532/5535/637/400916/5718/29110/9818/5693/5708/91181/9217/29979/517/1770/4716/116442/310/3799/1351/65018/9782/90550/9972/7277/23130/6506/1340/23064/5685/100101267/4927/4704/54205/29107/140775/4724/4535/4695/5686/5705/728343/4541/7385/25978/5530/55706/2066/9167/9706/5879/79023/129401/8678/9883/283/9631/196385/5289/81027/23636/2877/7278/847/345456/2903/514/51079/5216/1350/5695/7381/10482/170712/643246/55860/4698/440567/89953/84617/55567/1327/4218/126328/6300/347688/513/3800/9776/4928/2905/5533/100506742/7415/8408/146754/56000/29978/83544/57679/4722/2521/10452/4712/55102/10213/5700/7802/5603/10013/2890/4540/10671/7124/10120/4508/144983/56001/1337/11047/11273/1649/4513/4719/26100/1768/22926/79861/311,363
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,382/8404,388/9416,0.9845360824742269,1.1030927835051547,5.976009526393637,5.319647249462485e-13,2.6750226168725638e-11,1.3105673263133777e-11,203068/3552/5710/4710/673/5719/8517/5691/775/1345/102/29982/7477/841/4514/1537/5684/5682/4708/293/5717/5689/7280/1133/51807/5332/7475/125965/5330/498/539/5687/4713/4539/1349/8312/487/810/4512/10382/778/4509/7417/29986/163688/351/489/1339/30849/7132/1347/7471/776/5296/5894/3845/5702/4893/55630/1855/7478/4702/842/572/5683/341947/143471/55062/51107/10381/10975/51806/29796/348/2475/91252/5481/10376/9821/5290/5709/4891/7476/6391/5609/4728/2081/5594/5707/4726/4041/4707/22863/260334/1435/8322/122011/4519/4720/10000/6389/4217/292/55626/7479/25825/4717/7474/805/1459/2535/10383/4725/317/4537/1536/89780/1329/9377/4705/5714/3798/5743/4701/516/468/5331/4711/50507/4709/3643/347733/7473/57142/7846/2904/779/5663/27089/3630/283375/836/4723/5715/506/25800/509/1454/54539/7384/8323/64837/84701/147700/5970/207/1452/322/4842/1965/201266/8503/1128/7494/3710/2902/27035/5694/81029/27173/4538/22943/4700/522/5295/4696/60673/801/369/2906/8325/7186/9861/6392/1857/4729/55967/3831/1856/7979/5690/9451/4694/5701/840/4714/4137/8772/5534/3709/5706/10476/441925/515/1139/5692/5704/5713/3265/84790/5293/7922/808/1346/7386/208/4843/5604/113457/5688/4718/23621/54361/3708/10313/5602/7855/4731/3569/3028/2776/4706/6390/3416/112714/4715/55851/64116/51384/7388/7416/8326/823/518/8883/23516/374291/8660/4536/5532/5535/2932/637/5718/7419/5693/5708/517/4716/3799/1351/3667/8851/1499/90550/7277/6622/1457/23130/1340/3551/4040/5610/4023/2915/5685/4704/4790/27121/54205/4724/83447/4311/4535/4695/5686/57181/7484/5705/8313/4541/7385/221074/7483/11211/283106/5530/1020/177/9167/9706/8678/324/10297/3553/1131/5289/81027/89832/55334/355/4035/5599/7278/8324/2903/29985/514/488/51079/27123/1350/5695/7381/170712/4698/6868/10023/440567/89953/84617/1327/291/6263/126328/2597/347688/513/3800/5291/7472/9776/2905/23385/5533/100506742/7481/7976/8471/7482/5605/8408/5664/1460/83464/4722/5595/23236/4712/10105/55102/10213/80326/5700/7480/4540/7124/824/1147/4508/1337/11047/1649/23401/4513/4719/26100/22926/8321/91860/5601/79861,382
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,298/8404,300/9416,0.9933333333333333,1.1129493891797557,5.729349074930539,6.287012223815598e-13,2.7473384052728184e-11,1.3459968246870282e-11,3552/3791/5566/673/8517/775/6416/8649/1950/51776/2261/283748/773/8911/4791/5582/2249/3481/3082/5608/5871/59284/9261/5908/23542/7043/3556/4233/2264/1432/2316/1848/2247/778/3479/8913/5606/2255/56034/5906/2353/6788/1398/55799/1946/1846/7132/356/776/23118/5923/115727/5894/3845/4214/4893/1944/2253/4609/6655/2005/10746/7010/409/4909/51295/7046/80824/7423/4915/6885/5578/5979/1436/785/1849/6197/10454/2122/1399/5062/5609/51347/4804/5594/11221/1435/1647/8605/7157/10000/26281/6195/7189/5801/4217/2069/5971/3480/26291/4803/5156/5881/1969/5880/627/7042/1852/25780/5778/10368/468/3643/779/27091/9175/4208/8550/3630/836/5598/2246/2885/9254/51701/9448/4215/4902/2254/4763/4254/1326/5970/4294/3303/5600/207/1847/3925/4149/2064/7040/5154/51378/22808/1844/2323/1845/27006/51135/9693/5922/6789/369/4615/3654/7786/1943/2248/7186/774/2872/80310/7424/3310/408/4137/5567/5534/781/9252/1843/3265/93589/208/5604/2668/4775/4293/5602/285/123745/1616/8074/2252/2002/6654/7422/6196/777/23162/9479/3727/5494/1945/5579/10912/5532/5535/4216/59283/27330/3305/5228/255189/2065/8912/2322/8569/100137049/5568/929/4296/9965/22800/3551/5607/994/8822/4790/786/4908/8491/2251/5058/2260/998/5155/3315/10369/5530/2250/2066/55970/5879/374/1850/4616/8817/3553/59285/355/1956/5599/3815/5536/7039/2277/27092/3164/5921/7048/9048/6300/3725/3304/284/5159/5533/1942/57551/9344/5605/8823/782/5321/8986/4772/5595/2263/8717/6722/5924/2324/783/10235/3554/11184/2321/6237/4914/5623/5603/7124/2768/9064/1147/3312/5495/84451/1649/84867/9020/784/1386/7867/5601/10125,298
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,297/8404,299/9416,0.9933110367892977,1.1129244077115692,5.718213492263849,7.02444478620891e-13,2.7473384052728184e-11,1.3459968246870282e-11,203068/3791/10458/6585/57823/8573/3937/5817/7414/5584/941/6900/3688/7280/1796/7082/51807/85366/4637/5582/8506/22829/114836/23607/5908/3556/8541/6092/3932/1432/10225/10382/94030/288/10096/5906/2037/351/23380/22871/4684/342035/6504/5818/5296/71/80852/10094/79827/942/23426/3385/10381/50855/8976/1525/4868/5578/4629/10376/5290/57502/60/8500/4638/4063/150084/5062/6714/103910/7225/5594/7430/56253/25945/260334/6586/4685/9788/3687/10000/201633/9046/10666/5375/10093/7189/8829/9564/10383/4356/8777/999/7410/56924/92154/84612/10627/117178/22999/4099/219699/6091/3684/4008/10298/347733/10552/7846/1272/8826/51735/7827/940/382/1630/57863/8633/54413/2885/10332/23085/8655/81873/9863/6334/7409/5600/207/2036/287/51678/140735/3689/114798/8503/4155/4133/57689/3635/5361/28964/3676/4916/9223/9353/81/137970/2244/9693/5295/5335/90952/25/387/90249/2243/5063/84631/30835/10398/84552/4359/26047/57144/84790/9414/5293/4628/208/5604/962/113457/653857/81928/80059/79784/5602/8499/10095/112714/5588/4067/1000/81607/5579/51744/139065/2932/3678/3742/3737/57180/3383/5170/3736/6711/4690/10109/914/83700/3384/84623/26050/8497/1499/9423/84189/7277/10097/84063/5777/5792/57513/4478/5829/78999/5058/2260/998/5747/26280/51332/2534/7204/91807/5879/54538/6709/3786/56288/140465/87/55243/253559/4068/91768/23136/10092/5781/81027/5802/5599/7278/4897/3739/5789/340156/1445/84617/5803/10580/3785/145581/5921/5376/6300/57524/347688/5336/5291/5362/22865/8440/5605/23114/55558/8832/4627/57522/64221/5595/120425/5819/57731/57555/2266/5603/4301/3690/2308/3683/91584/8828/199731/58494/9901/3897/5962/117157/11141/6712/23705/10451/5601/79861/50848,297
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,296/8404,298/9416,0.9932885906040269,1.1128992585825224,5.707058913890927,7.848100634344363e-13,2.762531423289216e-11,1.3534403030616749e-11,3447/1232/3552/1270/3581/970/6370/943/3593/3624/654/151449/9966/1444/3445/8744/392255/6368/5618/2662/3558/53833/3976/3579/51561/3443/8809/3577/8784/2660/7043/386653/1235/3556/3588/9235/6374/650/10673/1440/8740/10850/6366/939/6364/2657/2919/1271/3586/6347/9547/10663/83729/8764/282617/7132/2826/356/1438/3439/729230/1896/3606/6362/2833/7046/1233/3455/1436/7133/959/64806/6360/3575/3566/4804/60401/3578/10344/7850/50616/1435/643/7852/3467/4982/8807/130399/9518/26525/1489/8808/3952/10148/2057/4803/8771/3576/655/414062/133396/246778/85480/1524/8742/7042/3446/56832/4838/59067/3442/1439/27177/9210/282618/6356/23765/3568/84818/659/4055/27242/3603/6363/768211/6372/53342/7040/3451/6846/3567/284340/5473/4050/652/58985/8797/93/56477/282616/6369/3596/6354/6352/51554/1442/657/3605/6361/3598/3560/112744/5196/3559/56300/7066/3563/50604/8995/6358/53832/8795/10563/91/5197/8200/3594/6351/7292/3625/3569/9180/23495/6359/651/84957/9173/7293/6367/958/27179/3570/8794/3454/3561/6346/3592/149233/6348/3623/1230/29949/115650/2661/6357/27178/3460/1443/3444/23529/658/3448/94/27189/3604/9560/5617/84639/2920/3977/90865/6355/920/3557/5008/353500/8741/3452/2690/3565/3553/55540/6375/58191/355/55504/3449/608/27190/2921/3597/6376/3459/3590/27302/2658/10220/2056/50615/338376/7048/3572/11009/269/8718/64109/656/8792/3440/4283/944/2689/3456/1234/10913/3600/8793/3587/3601/6373/132014/3458/163702/285613/90/3554/4352/146433/1437/3441/9466/10803/3627/3595/268/7124/57007/3953/51330/6387/1441/9573/2829/653/4049/3574/55801/3562/3626/8743/1237/1236/8600/92/2688/3589,296
