Arbitrary ID,VQM-732,0Xe-933,dFL-450,EcW-351,nkn-474,yBR-806,6rZ-921,CVp-900,FBr-666,pwX-711,8Ak-004,Wvk-040,uuk-615,wwg-515,1Qu-701,JPn-336,5Dj-010,lW5-428,hGO-989,eIt-266,Bi0-209,mMA-166,iA6-055,GRe-728,ipU-508,r6v-183,OV3-829,6oP-633,Vd7-714,wyH-085,ckl-460,FdA-492,gtA-835,FT5-355,fws-845,aYK-906,CyJ-883,w15-391,spU-324,qK6-434,Y4t-949,jpJ-859,IK1-886,NuV-036,oFd-671,Aeb-277,zSF-424,BR9-197,IuA-546,wde-847
DRG-001,2.78854,,,-5.53579,,,7.84359,-8.26122,-1.56156,-9.40406,,0.10711,-9.46928,-6.02325,2.99769,0.89883,-5.59119,1.78531,6.18861,-9.87002,6.11639,3.96279,-3.19499,-6.89041,9.14426,-3.26811,,-8.06567,6.94989,2.07452,6.14257,4.59464,,,,1.04081,6.58809,2.37040,,,,-9.08351,-5.44203,-4.21224,,-5.34418,,-4.44053,,
DRG-002,,,-4.66044,8.73309,2.96071,2.18262,,4.58254,-6.73195,-2.41089,9.79047,2.80000,1.13899,3.69229,6.85704,5.52000,,-9.35800,,-4.64518,-5.78034,8.85819,7.52735,-3.70644,3.10877,-2.08736,8.29095,,-4.70240,,1.22736,-4.74517,1.69172,7.95646,-2.01199,-5.61358,9.95075,0.19053,-8.18181,,-7.80702,2.54892,5.84159,-1.55680,-8.72945,-2.36761,9.92243,,9.42157,7.21559
DRG-003,-9.77038,4.41444,3.63421,0.73941,-4.66350,2.81924,,-1.30469,-0.92553,,7.51706,-4.73222,0.01172,-6.42696,8.25256,,-4.03110,2.77899,2.17940,-6.94321,,,5.57253,0.60707,-9.98856,-3.51688,-9.61047,,7.57444,6.63331,-3.84972,-8.84150,7.56019,8.93899,-8.28693,-0.28019,-8.61575,5.21204,5.31669,-7.43217,-0.49435,,-4.69887,7.44866,,-5.76404,0.78592,4.59862,-5.97698,-3.76567
DRG-004,9.90299,2.99756,-1.23800,0.35152,-7.57992,-5.50605,-3.23829,1.76617,-5.39771,-5.59565,-8.58014,2.62206,-5.42116,,7.19271,,-5.23991,3.37956,-5.71526,-7.35376,8.71028,1.42086,-0.54658,5.69239,,-6.19180,-8.06138,-1.37898,-1.52843,,,3.46729,9.68330,-8.03164,,-3.21395,7.23345,-5.02687,,-1.02773,-1.56237,-4.42910,-5.00387,8.46531,-1.13739,7.22698,1.00651,-8.98823,,6.72055
DRG-005,,8.52734,6.97391,-6.67378,-0.28718,-5.72505,-1.97919,,-2.42054,9.70618,-4.69594,5.68141,,-1.53985,9.14635,,1.11537,4.36817,-6.90406,-4.06584,9.37419,1.58361,0.84390,,-8.85669,,0.05701,,-6.85135,,-8.39777,-6.28350,1.90070,3.50425,-5.29592,-7.60227,7.80575,,1.89038,,-1.61550,1.67345,0.45565,8.69413,-5.91482,,-5.22628,,3.43380,
DRG-006,-3.67646,5.03729,,-0.83429,9.96909,,-8.53479,-5.73691,-4.69599,,7.61728,,-2.60946,-6.84506,,4.07080,2.23356,,3.07953,-9.84354,,-4.01242,3.26777,8.77860,-7.31418,-7.69143,,1.06447,-4.55304,2.09660,,-5.92805,,-4.72032,-0.22936,8.10673,6.92207,-8.15403,-1.52848,-4.46640,,,2.74227,-4.76089,4.82462,1.03361,-1.44626,-9.80661,,7.66213
DRG-007,8.07857,0.91181,,1.65019,-7.03812,,,,5.92245,,7.97849,-5.79847,-5.00941,-7.94413,5.60232,,-1.87245,2.41323,-6.90893,,7.29211,9.52412,6.21543,,-9.50427,4.73129,-3.35629,8.61632,6.04470,7.28128,6.21499,-4.66389,5.74749,-7.83809,7.44334,7.17187,-5.55133,,-0.79394,-3.89618,5.90691,-5.44809,,-6.13740,,,9.33778,,2.82963,-2.00643
DRG-008,9.62299,0.72431,8.78474,,9.40801,,9.25069,-4.69067,-7.83195,,4.57090,-3.72645,2.12418,,-2.29609,,-4.90555,4.17571,-9.96617,8.51150,,4.38860,4.83900,,-2.71557,-8.60052,,-3.39600,-3.72169,6.96031,4.39509,,,-1.83214,-1.95199,,-7.45424,,8.80727,,8.05611,,-3.98100,0.95874,-9.99188,-4.26173,-1.40224,1.59970,3.09411,-0.70024
DRG-009,-1.15680,-5.72597,-0.53628,8.02362,5.92050,-6.60617,-8.30409,,2.65882,-3.29623,,,,-5.50719,-6.01740,-9.51149,-5.10315,,6.99475,,-1.71118,,,3.92709,-0.11246,,3.12116,-9.88910,5.01929,5.40092,-7.86825,-1.49708,,9.15932,0.35916,-8.99563,-5.01603,6.96673,-0.87076,6.02833,3.35155,9.75785,1.90905,9.00079,7.82852,2.25305,,0.09556,,0.95744
DRG-010,7.94416,4.87311,-0.50651,-4.81617,-5.05521,2.75323,5.31627,0.42600,2.53497,-4.50805,-8.45033,,-4.56570,-3.60581,0.80304,-7.23252,-5.37477,3.87900,4.12838,-8.71542,-1.84801,0.85222,,-5.86331,-1.59713,,,3.91046,7.13464,5.31189,-2.39238,-9.88208,-2.96482,,7.06896,9.06861,-1.61957,4.95031,0.92265,,-5.58923,,-1.28328,,,3.58284,-1.91367,,-0.65220,-7.44744
