Arbitrary ID,Drug Name (Brand),Drug Name (Generic),Drug Company,Dosage
DRG-001,Tobramycin Sulfate,TOBRAMYCIN SULFATE,,9.1mg
DRG-002,Aptivus,tipranavir,"Boehringer Ingelheim Pharmaceuticals, Inc.",6.0mg
DRG-003,Ketoprofen,ketoprofen,,5.1mg
DRG-004,Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,REMEDYREPACK INC.,9.4mg
DRG-005,Diovan HCT,valsartan and hydrochlorothiazide,"PD-Rx Pharmaceuticals, Inc.",4.0mg
DRG-006,napoleon PERDIS SHEER GENIUS LIQUID FOUNDATION BROAD SPECTRUM SPF 20 Look 5,"OCTINOXATE, TITANIUM DIOXIDE","Napoleon Perdis Cosmetics, Inc",2.5mg
DRG-007,Take Care Clinic Instant Hand Sanitizer Spray,ALCOHOL,"Cinogen Cosmetics Zhaoqing, Ltd.",0.2mg
DRG-008,"Sodium Sulfacetamide, Sulfur","Sodium Sulfacetamide, Sulfur","Exact-Rx, Inc.",5.0mg
DRG-009,Lidocaine Hydrochloride,Lidocaine,Proficient Rx LP,3.7mg
DRG-010,Morning Fresh,Sodium Monofluorophosphate,Dynarex Corporation,1.6mg
DRG-011,,Chamomilla e pl. tota 30 Special Order,Uriel Pharmacy Inc.,8.5mg
DRG-012,CVS Tussin CF,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",CVS Pharmacy,0.8mg
DRG-013,LOVASTATIN,LOVASTATIN,"International Labs, Inc.",4.5mg
DRG-014,DHC,Titanium dioxide and Zinc oxide,DHC USA Incorporated,5.9mg
DRG-015,,Bupropion Hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,2.6mg
DRG-016,Lorazepam,LORAZEPAM,"Hospira, Inc.",5.5mg
DRG-017,PURE HYDROGEL APPLE ZONE,Glycerin,WOOIL C&TECH.CORP,8.5mg
DRG-018,Charm Tex,Sodium Fluoride,"Charm Tex, Inc.",2.3mg
DRG-019,Aricept,donepezil hydrochloride,Eisai Inc.,6.4mg
DRG-020,Air,Air,Airgas Intermountain Inc,6.2mg
DRG-021,Potassium Chloride,Potassium Chloride,Zydus Pharmaceuticals USA Inc,9.5mg
DRG-022,Mexican Tea Pollen,Mexican Tea Pollen,,1.2mg
DRG-023,Bahia Grass,Bahia Grass,"Nelco Laboratories, Inc.",8.2mg
