ModelID,TSPAN6 (7105),TNMD (64102),DPM1 (8813),SCYL3 (57147),FIRRM (55732)
VQM-732,4.9565773,0,7.5776477,3.1794107,4.765742
0Xe-933,4.955015,0.617117,7.3339334,2.782935,3.7353706
dFL-450,3.4219518,0,7.5460687,2.61588,4.4762325
EcW-351,5.196729,0,6.3622684,2.144996,3.0871828
nkn-474,4.651643,0,5.9464083,2.4545155,1.8521107
yBR-806,4.3367047,0,6.8793874,2.262824,3.2564914
6rZ-921,5.5999365,0,7.454151,2.9360423,3.4494834
CVp-900,7.10594,0,6.67748,2.7000535,4.122184
FBr-666,4.618039,0.13563599,7.1634684,2.669519,4.017842
pwX-711,3.7597098,0,6.0620546,1.931978,2.8010385
8Ak-004,0.080154166,0,6.2727733,4.1081815,3.9665504
Wvk-040,5.3208675,0,6.1207647,2.4816682,1.3794047
uuk-615,4.341025,0,6.683205,2.3839254,3.2778866
wwg-515,4.643816,0,6.477998,2.449667,4.400859
1Qu-701,4.130857,0.05710641,6.915664,2.0864952,3.2820141
JPn-336,5.6901965,0,6.958599,2.6580012,4.092926
5Dj-010,4.764797,0,7.203309,3.1027942,4.8788137
lW5-428,4.1796145,0,7.1999764,2.4639807,4.1972756
hGO-989,3.7825553,0,6.647467,1.063075,1.970423
eIt-266,0.11303767,0,6.857583,2.7255383,4.322772
Bi0-209,3.5003176,0,6.572009,1.8127488,3.596935
mMA-166,6.523344,0,7.186322,3.8194025,3.5258434
iA6-055,0,0,7.5223227,2.7813325,4.0804276
GRe-728,5.590108,0,6.9512496,3.0939894,4.3725967
ipU-508,4.175628,0,8.19953,2.462322,4.2051344
r6v-183,4.9718747,0.51628953,7.733693,2.6633036,4.474183
OV3-829,2.575724,0,6.881897,2.784994,4.405652
6oP-633,3.9146123,0,6.558782,2.9208972,3.1760707
Vd7-714,5.079698,0,6.241085,2.6748042,4.322995
wyH-085,3.6435099,0,6.6259365,2.5596802,3.489132
ckl-460,3.6879342,0,6.081972,4.0241866,3.8606849
FdA-492,4.9476056,0.33834568,7.027165,3.1258163,4.825338
gtA-835,3.5776343,0,7.4537725,2.4444735,3.932647
FT5-355,4.3881965,0,7.3350153,2.554304,5.143287
fws-845,3.1791224,0,7.3562584,2.3594818,4.3803067
aYK-906,4.8186207,0,7.6788116,1.7523204,3.0517132
CyJ-883,3.3793173,0,6.759981,2.7404485,4.5077567
w15-391,3.6606548,0,6.2265415,1.7048631,3.8584187
spU-324,3.55127,0,6.1212287,2.0086124,2.5592692
qK6-434,0,0,6.212517,3.1096866,4.72779
Y4t-949,3.227031,0.27657408,6.5282526,1.8602278,3.2970564
jpJ-859,3.4778197,0,6.787824,1.7636027,3.665825
IK1-886,5.096456,0,8.576556,2.9376833,3.6336637
NuV-036,3.4438188,0,6.1696486,1.4188484,1.549334
oFd-671,4.59214,0,7.355915,2.9296358,5.335326
Aeb-277,3.8150015,0,5.7907276,2.0400684,2.4884303
zSF-424,4.9543314,0,7.4311967,2.7049406,3.0563667
BR9-197,0.07322796,0,5.865602,3.4033563,4.862709
IuA-546,0.9202361,0,7.434678,2.458403,4.3358335
